unit,=,ns,,,,,
SBox_Type,Stage_Num,Switch_Num,Output_Num,Input_Num,Num_Loads,Rise_Delay,Fall_Delay
SB_LC,1,0,2,2,6,0.235055,0.2424495
SB_LC,1,0,2,2,7,0.2515517,0.2600416
SB_LC,1,0,2,2,8,0.2681393,0.2770949
SB_LC,1,0,2,3,1,0.1656621,0.1732116
SB_LC,1,0,2,3,2,0.1782943,0.1863809
SB_LC,1,0,2,3,3,0.1918953,0.2003552
SB_LC,1,0,2,3,4,0.2097767,0.2189852
SB_LC,1,0,2,3,5,0.2271017,0.2372819
SB_LC,1,0,2,3,6,0.2447335,0.2557626
SB_LC,1,0,2,3,7,0.2623086,0.2743
SB_LC,1,0,2,3,8,0.2801012,0.2928603
SB_LC,1,0,2,4,1,0.1685155,0.1734158
SB_LC,1,0,2,4,2,0.181134,0.1863857
SB_LC,1,0,2,4,3,0.1941789,0.1994488
SB_LC,1,0,2,4,4,0.2114368,0.2169987
SB_LC,1,0,2,4,5,0.2280914,0.2344653
SB_LC,1,0,2,4,6,0.2449449,0.2520292
SB_LC,1,0,2,4,7,0.2617648,0.2696204
SB_LC,1,0,2,4,8,0.2784252,0.2872437
SB_LC,1,0,2,5,1,0.170098,0.1770257
SB_LC,1,0,2,5,2,0.1818876,0.1885413
SB_LC,1,0,2,5,3,0.1968951,0.2039152
SB_LC,1,0,2,5,4,0.2139101,0.2214036
SB_LC,1,0,2,5,5,0.2308892,0.2385704
SB_LC,1,0,2,5,6,0.2472819,0.2566014
SB_LC,1,0,2,5,7,0.2639185,0.2736692
SB_LC,1,0,2,5,8,0.280556,0.2913484
SB_LC,1,0,3,0,1,0.1565593,0.1743424
SB_LC,1,0,3,0,2,0.1675957,0.1861426
SB_LC,1,0,3,0,3,0.1816078,0.2016213
SB_LC,1,0,3,0,4,0.1982361,0.2189332
SB_LC,1,0,3,0,5,0.2150598,0.236601
SB_LC,1,0,3,0,6,0.2318459,0.2531947
SB_LC,1,0,3,0,7,0.2483953,0.2713668
SB_LC,1,0,3,0,8,0.2661273,0.2893661
SB_LC,1,0,3,1,1,0.1569928,0.1735576
SB_LC,1,0,3,1,2,0.1696927,0.1869189
SB_LC,1,0,3,1,3,0.1837251,0.2020368
SB_LC,1,0,3,1,4,0.1995132,0.2188447
SB_LC,1,0,3,1,5,0.2161866,0.235943
SB_LC,1,0,3,1,6,0.2325718,0.2536328
SB_LC,1,0,3,1,7,0.2494228,0.2710971
SB_LC,1,0,3,1,8,0.2669483,0.2895792
SB_LC,1,0,3,2,1,0.1643144,0.1709248
SB_LC,1,0,3,2,2,0.1747179,0.1818878
SB_LC,1,0,3,2,3,0.1889458,0.196726
SB_LC,1,0,3,2,4,0.2061735,0.2148071
SB_LC,1,0,3,2,5,0.2228839,0.2321198
SB_LC,1,0,3,2,6,0.2395724,0.2499091
SB_LC,1,0,3,2,7,0.2563146,0.2672585
SB_LC,1,0,3,2,8,0.2738526,0.2858508
SB_LC,1,0,3,3,1,0.161144,0.1679414
SB_LC,1,0,3,3,2,0.1756589,0.1827368
SB_LC,1,0,3,3,3,0.1907702,0.1984569
SB_LC,1,0,3,3,4,0.2080637,0.2165353
SB_LC,1,0,3,3,5,0.2250178,0.2344484
SB_LC,1,0,3,3,6,0.2422037,0.2524575
SB_LC,1,0,3,3,7,0.25926,0.2703536
SB_LC,1,0,3,3,8,0.2765794,0.2881844
SB_LC,1,0,3,4,1,0.1659695,0.1701465
SB_LC,1,0,3,4,2,0.1787913,0.183222
SB_LC,1,0,3,4,3,0.1936346,0.1982489
SB_LC,1,0,3,4,4,0.210864,0.2156541
SB_LC,1,0,3,4,5,0.2275336,0.2330341
SB_LC,1,0,3,4,6,0.2444302,0.2505782
SB_LC,1,0,3,4,7,0.2612152,0.2679667
SB_LC,1,0,3,4,8,0.2788287,0.2863738
SB_LC,1,0,3,5,1,0.1713717,0.1784882
SB_LC,1,0,3,5,2,0.1833326,0.1899878
SB_LC,1,0,3,5,3,0.19794,0.2052056
